x, y, theta, stamp, 
1.428167700767517, 2.065340280532837, 1.2043646663525467, (1740706207, 605594387), 
1.4292327165603638, 2.068810224533081, 1.2028879279161526, (1740706207, 696591017), 
1.4295849800109863, 2.069934368133545, 1.2033075632937358, (1740706207, 795954428), 
1.4282326698303223, 2.0655481815338135, 1.198699549646908, (1740706207, 905700209), 
1.424975872039795, 2.0588250160217285, 1.1810377967249837, (1740706208, 5622199), 
1.4229469299316406, 2.054946184158325, 1.1390579559232463, (1740706208, 77626578), 
1.4229469299316406, 2.054946184158325, 1.0492425684012363, (1740706208, 194589966), 
1.4229469299316406, 2.054946184158325, 0.9440813430991545, (1740706208, 293637509), 
1.4229469299316406, 2.054946184158325, 0.7683801869273656, (1740706208, 403618971), 
1.4229469299316406, 2.054946184158325, 0.5693080184215398, (1740706208, 503575179), 
1.4229469299316406, 2.054946184158325, 0.38602398854656284, (1740706208, 593607336), 
1.4229469299316406, 2.054946184158325, 0.17271692697578858, (1740706208, 693798737), 
1.4229469299316406, 2.054946184158325, -0.06902458602074824, (1740706208, 803624304), 
1.4229469299316406, 2.054946184158325, -0.2853399982345573, (1740706208, 902624234), 
1.4229469299316406, 2.054946184158325, -0.46443689047226255, (1740706208, 992672377), 
1.4229469299316406, 2.054946184158325, -0.6607804172861, (1740706209, 112036451), 
1.4229469299316406, 2.054946184158325, -0.7502978202724264, (1740706209, 202610159), 
1.4229469299316406, 2.054946184158325, -0.8340936289059203, (1740706209, 302605672), 
1.4229469299316406, 2.054946184158325, -0.9068465286493531, (1740706209, 382640089), 
1.4229469299316406, 2.054946184158325, -0.9597958874525054, (1740706209, 442571085), 
1.4229469299316406, 2.054946184158325, -1.1269801916624775, (1740706209, 601633576), 
1.4229469299316406, 2.054946184158325, -1.245837846509301, (1740706209, 701621693), 
1.4229469299316406, 2.054946184158325, -1.3763244626248048, (1740706209, 801676935), 
1.4229469299316406, 2.054946184158325, -1.5047228124950207, (1740706209, 911860279), 
1.4229469299316406, 2.054946184158325, -1.6066085557234482, (1740706210, 1638220), 
1.4229469299316406, 2.054946184158325, -1.6780879018669987, (1740706210, 100602249), 
1.4229469299316406, 2.054946184158325, -1.6633731780530199, (1740706210, 200689063), 
1.4229469299316406, 2.054946184158325, -1.625672264177364, (1740706210, 310205795), 
1.4229469299316406, 2.054946184158325, -1.589879641449266, (1740706210, 390621980), 
1.4229469299316406, 2.054946184158325, -1.5026614624797578, (1740706210, 500641378), 
1.4229469299316406, 2.054946184158325, -1.4570217197134672, (1740706210, 600710671), 
1.4229469299316406, 2.054946184158325, -1.4504357740410272, (1740706210, 709038813), 
1.4229469299316406, 2.054946184158325, -1.4683781565535083, (1740706210, 789467724), 
1.4229469299316406, 2.054946184158325, -1.5150427766791594, (1740706210, 899713943), 
1.4229469299316406, 2.054946184158325, -1.5231921869698526, (1740706210, 999720456), 
1.4229469299316406, 2.054946184158325, -1.4959668777620547, (1740706211, 109046034), 
1.4229469299316406, 2.054946184158325, -1.4041088438318483, (1740706211, 209914392), 
1.4229469299316406, 2.054946184158325, -1.2943356317527108, (1740706211, 298683656), 
1.4229469299316406, 2.054946184158325, -1.1591318409688753, (1740706211, 398602872), 
1.4229469299316406, 2.054946184158325, -1.017008563218752, (1740706211, 508706187), 
1.4229469299316406, 2.054946184158325, -0.916868723935035, (1740706211, 608713897), 
1.4229469299316406, 2.054946184158325, -0.8544449071032701, (1740706211, 698787405), 
1.4229469299316406, 2.054946184158325, -0.7814525839751274, (1740706211, 798939599), 
1.4229469299316406, 2.054946184158325, -0.6867407899205018, (1740706211, 906979771), 
1.4229469299316406, 2.054946184158325, -0.5932344717417495, (1740706212, 7811597), 
1.4229469299316406, 2.054946184158325, -0.48739299366242633, (1740706212, 97642461), 
1.4229469299316406, 2.054946184158325, -0.367802074463708, (1740706212, 197691791), 
1.4229469299316406, 2.054946184158325, -0.2629409606344832, (1740706212, 297016091), 
1.4229469299316406, 2.054946184158325, -0.1707124797693671, (1740706212, 407645537), 
1.4229469299316406, 2.054946184158325, -0.12061131690018495, (1740706212, 496671270), 
1.4229469299316406, 2.054946184158325, -0.09607364066386724, (1740706212, 596650881), 
1.4229469299316406, 2.054946184158325, -0.09158955633075457, (1740706212, 696000100), 
1.4229469299316406, 2.054946184158325, -0.07688192137437187, (1740706212, 806686715), 
1.4229469299316406, 2.054946184158325, -0.07763442696188545, (1740706212, 886650673), 
